t,unemployment_rate,gdp_per_capita,indexed_price_level,adjusted_gdp,average_needs_ratio,tot_population,inflation,gdp,price_level,firm1_product,firm1_sold,firm1_price,firm1_stock,firm1_productivity,firm1_account,firm1_profits,firm1_dividends,firm1_capital,firm1_workers_0,firm1_wages_0,firm1_workers_1,firm1_wages_1,firm2_product,firm2_sold,firm2_price,firm2_stock,firm2_productivity,firm2_account,firm2_profits,firm2_dividends,firm2_capital,firm2_workers_0,firm2_wages_0,firm2_workers_1,firm2_wages_1,firm3_product,firm3_sold,firm3_price,firm3_stock,firm3_productivity,firm3_account,firm3_profits,firm3_dividends,firm3_capital,firm3_workers_0,firm3_wages_0,firm3_workers_1,firm3_wages_1,firm4_product,firm4_sold,firm4_price,firm4_stock,firm4_productivity,firm4_account,firm4_profits,firm4_dividends,firm4_capital,firm4_workers_0,firm4_wages_0,firm4_workers_1,firm4_wages_1,firm5_product,firm5_sold,firm5_price,firm5_stock,firm5_productivity,firm5_account,firm5_profits,firm5_dividends,firm5_capital,firm5_workers_0,firm5_wages_0,firm5_workers_1,firm5_wages_1,firm6_product,firm6_sold,firm6_price,firm6_stock,firm6_productivity,firm6_account,firm6_profits,firm6_dividends,firm6_capital,firm6_workers_0,firm6_wages_0,firm6_workers_1,firm6_wages_1,firm7_product,firm7_sold,firm7_price,firm7_stock,firm7_productivity,firm7_account,firm7_profits,firm7_dividends,firm7_capital,firm7_workers_0,firm7_wages_0,firm7_workers_1,firm7_wages_1,firm8_product,firm8_sold,firm8_price,firm8_stock,firm8_productivity,firm8_account,firm8_profits,firm8_dividends,firm8_capital,firm8_workers_0,firm8_wages_0,firm8_workers_1,firm8_wages_1,firm9_product,firm9_sold,firm9_price,firm9_stock,firm9_productivity,firm9_account,firm9_profits,firm9_dividends,firm9_capital,firm9_workers_0,firm9_wages_0,firm9_workers_1,firm9_wages_1,firm10_product,firm10_sold,firm10_price,firm10_stock,firm10_productivity,firm10_account,firm10_profits,firm10_dividends,firm10_capital,firm10_workers_0,firm10_wages_0,firm10_workers_1,firm10_wages_1,firm11_product,firm11_sold,firm11_price,firm11_stock,firm11_productivity,firm11_account,firm11_profits,firm11_dividends,firm11_capital,firm11_workers_0,firm11_wages_0,firm11_workers_1,firm11_wages_1,pop1_thrift,pop1_pop_type,pop1_population,pop1_savings,pop1_available_income,pop1_consumption_lodging,pop1_consumption_luxury,pop1_consumption_food,pop1_consumption_clothes,pop2_thrift,pop2_pop_type,pop2_population,pop2_savings,pop2_available_income,pop2_consumption_lodging,pop2_consumption_luxury,pop2_consumption_food,pop2_consumption_clothes,pop3_thrift,pop3_pop_type,pop3_population,pop3_savings,pop3_available_income,pop3_consumption_lodging,pop3_consumption_luxury,pop3_consumption_food,pop3_consumption_clothes,pop4_thrift,pop4_pop_type,pop4_population,pop4_savings,pop4_available_income,pop4_consumption_lodging,pop4_consumption_luxury,pop4_consumption_food,pop4_consumption_clothes,pop5_thrift,pop5_pop_type,pop5_population,pop5_savings,pop5_available_income,pop5_consumption_lodging,pop5_consumption_luxury,pop5_consumption_food,pop5_consumption_clothes
0,0,0,,0,0,0,0,0,,food,21196.498569385873,0.434666764616665,6738.401732965581,3,-1789.0934993887315,-1789.270637358968,0,0,7208,1.2950600938848225,1000,1.65,lodging,28937.0,0.40115913064950165,11943.170191150704,3,-3373.3598573962286,-3373.6938534217134,0,0,10500,1.20225779742912,1529,1.5203369165772358,clothes,29123.474761897724,0.6935841538265808,5030.868414140426,2,-948.867938001217,-948.9618853218112,0,0,13651,1.402089226331946,1398,1.429995548286856,luxury,2288.708871603768,2.2,432.33766281316,0.5,214.97463486207272,214.9959194793858,107.4979597396929,0,4518,0.9965871166192155,332,0.963050456361173,food,15780.0,0.4033333333333333,832.2387328128862,3,643.0433766204075,643.1070442814589,321.55352214072946,0,4200,1.0924114668043439,741,1.538185194205803,lodging,2865.0,0.40700000000000003,0.0,3,108.72208153260338,108.73284609513136,54.36642304756568,0,955,1.1082820677698375,0,1.0128785791594974,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,30000,3107.6469594805676,33120.35351875027,17505.0,999.0,21496.498569385873,16986.0,0.2,0,12000,1464.6234083508784,15653.500264156126,9297.0,600.0,8703.0,7921.97294919123,0.2,0,3000,101.065421961906,2473.684403662618,1500.0,0,2199.0,1215.5018127064945,0.3,1,5000,512.4264865587696,7433.256902370028,3500.0,689.7088716037679,4498.0,3000.0,0.4,3,100,-32.09107458102653,0,0.0,0.0,80.0,0.0
1,7.9201596806387276,1.0696037990960132,100.0,78384.61315795164,0.9969206187724772,50100,0,53587.15033471026,0.6836437430229785,food,22072.103813004207,0.4129334263858317,10864.428502601573,3,-2951.983122937035,-1163.18189910503,0,-1789.270637358968,6848,1.2950600938848225,836,1.65,lodging,27756.0,0.38110117411702654,22524.749879990137,3,-6790.660353689921,-3417.972838902983,0,-3373.6938534217134,9975,1.20225779742912,1273,1.5203369165772358,clothes,28266.799383914113,0.6589049461352517,10961.441625074964,2,-3814.070779307866,-2865.5804720768774,0,-948.9618853218112,12969,1.402089226331946,2288,1.4287056439941668,luxury,2392.765328394446,2.09,294.57233441871404,0.5,620.8421420422125,513.4269364388468,256.7134682194234,107.4979597396929,4510,0.9963771665911235,0,1.0156773928206106,food,16989.0,0.4545970944035511,173.74453623512818,3,2554.980697360918,2233.743811267117,1116.8719056335585,321.55352214072946,4200,1.0922453239100762,603,1.538185194205803,lodging,3009.0,0.40700000000000003,0.0,3,170.5767295963365,116.23795989640726,58.11897994820363,54.36642304756568,1003,1.106810376270744,0,1.0112029791792363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,30000,6035.510179826886,31811.102204853094,17493.0,1500.0,22497.0,14267.325863893599,0.2,0,12000,2859.8970141864775,15012.544711820261,8202.0,501.0,8854.141663837356,8598.0,0.2,0,3000,192.91442855687174,2412.363501052228,1500.0,0,2630.96214916685,900.0,0.3,1,5000,1104.8109952200216,7511.193080367575,3500.0,250.0,4999.0,4401.473520020515,0.4,3,100,26.362969145053906,483.417904927988,70.0,141.765328394446,80.0,100.0
2,10.968063872255485,1.0432331365764473,97.95895579194749,78045.00427669483,0.9611450901561945,50100,-2.0410442080525115,52265.98014248001,0.6696902720022946,food,21312.0,0.3922867550665401,14574.940878192327,3,-4440.595057471339,-1489.0515974112739,0,-2952.452536463998,6506,1.2950600938848225,836,1.65,lodging,30770.0,0.3620461154111752,28367.21474696311,3,-9069.484297761906,-2279.721912814331,0,-6791.666692324696,9477,1.20225779742912,1273,1.5203369165772358,clothes,28717.790828702993,0.6611650061353578,14732.67848616378,2,-5260.100056109108,-1446.550078786995,0,-3814.5423573986886,12321,1.402089226331946,2174,1.4287056439941668,luxury,2378.867403505585,2.09,361.1773815876394,0.5,775.3253793024797,411.2734703687303,205.63673518436514,364.21142795911635,4492,0.9963771665911235,114,0.8121616177512285,food,13919.07587426943,0.4545970944035511,2585.174465387939,3,2274.2291656794246,836.3455451565878,418.1727725782939,1438.425427774288,4200,1.0920101246713232,603,1.538185194205803,lodging,3162.0,0.40700000000000003,0.0,3,236.2344115848621,123.80005148243072,61.90002574121536,112.4854029957693,1054,1.1057839588552352,0,0.7734872550011684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,30000,8844.896975732245,30595.043456612675,18006.0,501.0,21507.0,17061.790828702993,0.2,0,12000,4174.273447602969,14393.465238454824,9798.0,600.0,7762.205091400911,7596.0,0.2,0,3000,277.37690649012507,2333.7558281991373,1500.0,150.0,1829.3989730205765,900.0,0.3,1,5000,1726.1451144934388,7440.9070613758795,4498.0,749.0,4012.4718098479425,3000.0,0.4,3,100,470.9707194567364,1431.7043538011856,130.0,378.86740350558523,120.0,160.0
3,13.872255489021956,1.0194433326783516,95.3793795610713,78327.89932642359,0.924805114689601,50100,-2.6333235282283707,51074.11096718542,0.6520551605034016,food,22723.0,0.3939638661936811,15747.250503393574,3,-4921.447771916947,-481.3399865022362,0,-4441.504133875272,6181,1.2950600938848225,836,1.65,lodging,28439.13224168736,0.3659782975957192,34886.77474314287,3,-11536.116169681265,-2467.774061639159,0,-9071.388605139027,9004,1.20225779742912,1273,1.5203369165772358,clothes,29188.53745271978,0.6281067558285899,16408.52443805751,2,-6351.197178747008,-1091.7259540417367,0,-5261.092436185683,11705,1.402089226331946,2065,1.4287056439941668,luxury,1948.8251875474948,2.02585927128646,998.6406375660222,0.5,-107.5529976436058,-677.2522905733668,0,569.8481631434815,4480,0.9963771665911235,223,0.7195185138043271,food,13865.0,0.43186723968337354,5050.680268810182,3,2353.917709732229,498.0943777904749,249.04718889523744,1856.598200352582,4200,1.091847239383505,603,1.538185194205803,lodging,3321.0,0.40700000000000003,0.0,3,306.65460744369005,132.35058344236447,66.17529172118223,174.38542873698466,1107,1.104212251700156,0,0.5929768820858468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,30000,11521.290629433657,29453.16763216341,16503.0,1002.0,20505.0,16578.53745271978,0.2,0,12000,5416.091137529353,13779.43557906975,9133.348096724865,501.0,9204.0,7107.0,0.2,0,3000,366.4031661856687,2280.637905707177,1894.0619601871886,0,2301.0,900.0,0.3,1,5000,2340.143268505379,7353.04435033524,4099.722184775305,250.0,4498.0,4503.0,0.4,3,100,621.1790352488474,685.7095335038744,130.0,195.82518754749486,80.0,100.0
4,16.6127744510978,0.9776685739273461,93.5439448592891,76592.07887353215,0.8901752389325437,50100,-1.9243516892527013,48981.19555376004,0.639507326007395,food,16759.213290380405,0.3947673114869179,21801.586344433414,3,-7362.345580628622,-2441.6267538186657,0,-4922.844120377508,5872,1.2950600938848225,836,1.65,lodging,29260.28646715344,0.3668729862247286,38996.52678365805,3,-13151.017685594135,-1616.2035968718487,0,-11539.162666778186,8554,1.20225779742912,1273,1.5203369165772358,clothes,28659.86613408907,0.6273124036287915,17070.6982767922,2,-6834.528940188223,-484.00844747485877,0,-6352.8183902274195,11120,1.402089226331946,1962,1.4287056439941668,luxury,866.9171062426573,1.9245663077221369,2468.2155339575106,0.5,-2791.9667865047472,-2684.690221216241,0,-107.4041274298853,4256,0.9961895633622029,121,0.7060101317706509,food,20130.0,0.41027387769920487,1251.1860722324236,3,4899.520533422483,2795.135113628404,1397.567556814202,2105.6453892478194,4200,1.091701804210646,603,1.538185194205803,lodging,4599.71353284656,0.40700000000000003,0.0,3,685.1590052496432,444.7475270524073,222.37376352620365,240.56072045816688,1163,1.1025097076569277,205,0.7413106383591815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,30000,13975.668945869997,28204.13551318687,17493.0,0,21006.0,17380.980390313925,0.2,0,12000,6547.305196148995,13204.748406896299,9798.0,501.0,9099.0,6113.694878674096,0.2,0,3000,437.2501079348181,2178.2034965876974,1500.0,0,2199.0,1063.1908651010483,0.3,1,5000,2975.9035344665713,7282.830947233357,4999.0,265.91710624265727,4501.0,4002.0,0.4,3,100,628.5107602740993,315.22248061641966,70.0,100.0,84.21329038040315,100.0
5,19.630738522954093,0.9406950854240685,93.10998289247544,74038.99427615773,0.8664889613991317,50100,-0.4639124076565637,47128.823779745835,0.636540572174174,food,20931.3548106335,0.3957611242411351,22648.00424423244,3,-7759.900025992295,-398.3227522969386,0,-7364.470874196174,5579,1.2950600938848225,836,1.65,lodging,28419.683043915666,0.36793807089949615,42424.15767408647,3,-14544.477068803491,-1394.8994304438681,0,-13155.366263650034,8127,1.20225779742912,1273,1.5203369165772358,clothes,24133.0,0.6273404604022528,20793.7413892147,2,-9261.396511843215,-2427.7845416066634,0,-6836.826837702279,10564,1.402089226331946,1864,1.4287056439941668,luxury,2336.115735189448,1.82833799233603,2487.223750907603,0.5,-2736.3924734000598,55.30338315682706,0,-2792.094348646126,4044,0.9961895633622029,219,0.73037100919319,food,15260.0,0.41027387769920487,2321.6918756546656,3,4292.559691512406,791.031720814176,395.515860407088,3503.2129460620213,4200,1.091701804210646,603,1.538185194205803,lodging,4599.71353284656,0.42735000000000006,0.0,3,998.9320869540919,536.2457493976776,268.1228746988388,462.93448398437056,1163,1.1025097076569277,205,0.7668895596528497,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,30000,16197.050391831906,26946.760392755285,17284.396576762225,999.0,20994.0,12978.0,0.2,0,12000,7581.509451825307,12668.2135752292,9204.0,99.0,8996.814127718544,7095.0,0.2,0,3000,492.60509219026335,2088.5429644025457,1899.0,0,1939.2343279713268,900.0,0.3,1,5000,3584.3658050039517,7222.58549805619,4502.0,749.0,4141.30635494363,3000.0,0.4,3,100,1164.6972420764994,1619.9413203404056,130.0,489.1157351894482,120.0,160.0
6,22.60079840319361,0.9257042575345338,93.20012426407986,72788.64792897803,0.8336369517141676,50100,0.0968117153544279,46377.783302480144,0.6371568180210228,food,18300.0,0.3970189272965039,25133.036421774574,3,-8826.35688629121,-1067.3307570203297,0,-7762.793626493112,5301,1.2950600938848225,836,1.65,lodging,27916.420676741902,0.3692609026734264,44891.96654957973,3,-15608.596276242224,-1065.6646130106478,0,-14550.265694093901,7721,1.20225779742912,1273,1.5203369165772358,clothes,26079.707650860088,0.627326853024004,21177.975208162963,2,-9597.525761968449,-337.0795002006472,0,-9264.611379308943,10036,1.402089226331946,1771,1.4287056439941668,luxury,1042.7449257560243,1.8870132707845884,3877.5649207057627,0.5,-5061.680857918656,-2325.789541039182,0,-2736.790965489299,4031,0.9961895633622029,302,0.7523381307677589,food,16711.0,0.3897601838142446,1895.3790409174544,3,4960.963587853977,1064.4109412623066,532.2054706311533,3898.7288064691093,4187,1.091701804210646,603,1.538185194205803,lodging,4832.426870123587,0.42735000000000006,0.0,3,1293.657026074433,562.9758986732469,281.48794933662344,731.0573586832094,1222,1.1008657622864084,215,0.7899550373061482,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,30000,18248.061923500045,25965.891495723503,17004.0,501.0,19491.0,14306.97588929466,0.2,0,12000,8539.702310240911,12142.457666233024,9204.0,99.0,9099.0,6502.930980976085,0.2,0,3000,540.5843950171527,2042.617870801565,1500.0,0,1800.0,1171.8007805893444,0.3,1,5000,4201.239185482572,7169.598710935275,4910.847546865487,250.0,4501.0,3998.0,0.4,3,100,1319.6005724203642,663.6387351059268,130.0,192.74492575602417,120.0,100.0
7,24.954091816367264,0.8878340032743114,92.63284471306147,70238.40734917848,0.8038079311059761,50100,-0.6086682346163053,44480.483564043,0.6332786468650368,food,16855.835361217483,0.39849967392303387,28105.904460312435,3,-10110.740970189148,-1285.385147360352,0,-8830.124383513441,5036,1.2950600938848225,836,1.65,lodging,25015.387086789633,0.37078302896587517,48854.57456302586,3,-17258.13777159782,-1651.2502218676946,0,-15615.930307104549,7335,1.20225779742912,1273,1.5203369165772358,clothes,22490.31737467597,0.627345879443926,23829.89010111222,2,-11372.924710811183,-1776.5249809923089,0,-9601.69087950959,9535,1.402089226331946,1682,1.4287056439941668,luxury,2146.6239213931703,1.8015384037644555,4117.956178348683,0.5,-5351.327924767147,-290.17690129648656,0,-5062.580506528481,3816,0.9961895633622029,391,0.7734774452375907,food,18127.164638782517,0.3897601838142446,0.0,3,6072.018534988783,1643.8616077199215,821.9308038599607,4430.934277100263,4172,1.091701804210646,603,1.538185194205803,lodging,5059.015523605192,0.42735000000000006,0.0,3,1603.8202443904468,591.8099617362399,295.90498086811994,1012.5453080198329,1284,1.0993660369610267,215,0.8121513174994665,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,30000,20094.824883511286,24848.392123212037,16503.0,498.0,20505.0,12596.875226268772,0.2,0,12000,9406.937966056114,11666.776383688115,8202.0,600.0,8598.0,5332.442148407201,0.2,0,3000,568.4802358331134,1961.8611355364515,1500.0,49.44068598918534,1800.0,900.0,0.3,1,5000,4816.4762213663025,7122.439674457391,3799.402610394827,749.0,4000.0,3501.0,0.4,3,100,1540.3190015698997,813.6934199677767,70.0,250.18323540398524,80.0,160.0
8,27.588822355289423,0.8621951409343951,92.7804215373272,68101.56811846675,0.7752067093385674,50100,0.15931371288750995,43195.97656081319,0.6342875465902813,food,18700.254967935394,0.40015245815821193,28318.597733643634,3,-10306.091031081589,-196.37046594502328,0,-10115.509530873793,4785,1.2950600938848225,836,1.65,lodging,25189.319761609633,0.37255995513821344,51228.86749671604,3,-18301.840937927427,-1045.51522978884,0,-17267.180528972243,6969,1.20225779742912,1229,1.5203369165772358,clothes,24421.539845304065,0.627348316248871,23295.414551186168,2,-11147.077836389779,224.74320334855008,0,-11378.2158605019,9059,1.402089226331946,1598,1.4287056439941668,luxury,783.9736602154508,1.775474868544338,5724.106843893526,0.5,-8149.883963772728,-2799.362958209915,0,-5352.757407824968,3626,0.9955121927061914,639,0.7825703272813593,food,16916.745032064606,0.3897601838142446,0.0,3,6221.392673377773,971.920921721563,485.9604608607815,5252.865080960224,4367,1.0891323531354076,603,1.538185194205803,lodging,4851.335901195523,0.42735000000000006,0.0,3,1841.4696660300128,533.7367262369957,266.8683631184978,1308.4502888879529,1349,1.0977318435232801,95,0.8111169566979638,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,30000,21791.080281209463,23988.511306757522,16002.0,0,20493.0,13254.539845304063,0.2,0,12000,10192.396831443486,11247.537871088784,8411.655662805155,0,8202.0,6606.0,0.2,0,3000,573.6280300290923,1887.6827168250868,1500.0,0,1800.0,900.0,0.3,1,5000,5407.98458556472,7035.6099117012955,3997.0,449.8522674563943,5002.0,3501.0,0.4,3,100,1886.7848689711157,1117.8357847280806,130.0,334.12139275905645,120.0,160.0
9,29.630738522954093,0.8432517827950827,92.95523969530296,66480.04052410713,0.7496316752550154,50100,0.18842138791688168,42246.91431803365,0.6354826799889507,food,19986.0,0.4021953956819755,26313.29864946491,3,-9573.241610179879,731.9015751977623,0,-10311.879996818816,4546,1.2950600938848225,802,1.65,lodging,25503.39084084224,0.37222540487639816,51913.27368955604,3,-18730.18068533253,-430.1942207402077,0,-18312.695758761085,6621,1.20225779742912,1168,1.5203369165772358,clothes,20430.994735759243,0.627348316248871,26751.484110804933,2,-13447.468866166153,-2301.722462337324,0,-11153.47265715335,9059,1.402089226331946,1598,1.4287056439941668,luxury,1999.5155708182212,1.8123447250332936,5986.274871016616,0.5,-8495.767006814514,-346.72420809196285,0,-8152.120366034884,3431,0.9951788613288733,605,0.7787096895847797,food,13203.770748464509,0.3897601838142446,4409.634427477512,3,5041.946688822083,-692.9863210524525,0,5738.825541821006,4567,1.0865303765704502,603,1.538185194205803,lodging,5557.117758037862,0.42735000000000006,0.0,3,2236.2703370587246,661.8904470518692,330.9452235259346,1575.3186520064507,1417,1.0964180427478696,224,0.8110810876895866,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0,30000,23370.17493464056,23459.24080808532,16992.0,498.0,19002.0,11339.994735759243,0.2,0,12000,10964.538082979838,11186.52885847715,8202.0,501.0,8307.770748464509,5091.0,0.2,0,3000,572.1354423058243,1833.5159679475732,1500.0,0,1800.0,900.0,0.3,1,5000,5983.425901724723,6962.452335612247,4296.5085988801,751.0,4000.0,3000.0,0.4,3,100,2088.1083800898755,752.8288239792794,70.0,249.5155708182213,80.0,100.0
